country,ISOcode,cases,deaths,popdata2018,popdata2018_log,cases_log,deaths_log,ccode,country_name,country_id,v2x_polyarchy,v2x_libdem,v2x_partipdem
North_Macedonia,MKD,908,44,2082958,6.3186808,2.9585638,1.6532125,,Palestine/West Bank,128,.28299999,.20999999,.20100001
North_Macedonia,MKD,908,44,2082958,6.3186808,2.9585638,1.6532125,,Somaliland,139,.44100001,.26499999,.285
Mali,MLI,144,13,19077690,7.2805257,2.1613679,1.1461281,432,Mali,28,.46700001,.30899999,.26699999
Malta,MLT,393,3,483530,5.6844244,2.5954962,.60206002,338,Malta,178,.75700003,.56,.55299997
Myanmar,MMR,74,4,53708395,7.730042,1.8750613,.69897002,775,Burma/Myanmar,10,.40599999,.24600001,.27399999
Montenegro,MNE,283,4,622345,5.7940321,2.4533184,.69897002,341,Montenegro,183,.45500001,.34900001,.30199999
Mongolia,MNG,30,0,3170208,6.5010877,1.4913617,0,712,Mongolia,89,.68300003,.52200001,.405
Northern_Mariana_Islands,MNP,13,2,56882,4.7549825,1.1461281,.47712126,,Hong Kong,167,.31799999,.255,.117
Northern_Mariana_Islands,MNP,13,2,56882,4.7549825,1.1461281,.47712126,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Northern_Mariana_Islands,MNP,13,2,56882,4.7549825,1.1461281,.47712126,,Palestine/Gaza,138,.13,.078000002,.111
Northern_Mariana_Islands,MNP,13,2,56882,4.7549825,1.1461281,.47712126,,Somaliland,139,.44100001,.26499999,.285
Mozambique,MOZ,28,0,29495962,7.4697628,1.4623981,0,541,Mozambique,57,.40900001,.26899999,.257
Mauritania,MRT,7,1,4403319,6.6437802,.90309,.30103001,435,Mauritania,65,.368,.161,.24699999
Montserrat,MSR,11,0,5900,3.7709255,1.0791812,0,,Palestine/Gaza,138,.13,.078000002,.111
Montserrat,MSR,11,0,5900,3.7709255,1.0791812,0,,Somaliland,139,.44100001,.26499999,.285
Montserrat,MSR,11,0,5900,3.7709255,1.0791812,0,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Montserrat,MSR,11,0,5900,3.7709255,1.0791812,0,,Hong Kong,167,.31799999,.255,.117
Mauritius,MUS,324,9,1265303,6.1021948,2.5118833,1,590,Mauritius,180,.81800002,.71399999,.52499998
Malawi,MWI,16,2,18143315,7.2587166,1.230449,.47712126,553,Malawi,87,.5,.42399999,.31299999
Malaysia,MYS,4987,82,31528585,7.4987044,3.6979265,1.9190781,820,Malaysia,177,.46599999,.32800001,.28799999
Cases_on_an_international_conveyance_Japan,N/A,696,7,3000,3.4772661,2.8432329,.90309,,Palestine/Gaza,138,.13,.078000002,.111
Cases_on_an_international_conveyance_Japan,N/A,696,7,3000,3.4772661,2.8432329,.90309,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Cases_on_an_international_conveyance_Japan,N/A,696,7,3000,3.4772661,2.8432329,.90309,,Hong Kong,167,.31799999,.255,.117
Cases_on_an_international_conveyance_Japan,N/A,696,7,3000,3.4772661,2.8432329,.90309,,Somaliland,139,.44100001,.26499999,.285
Namibia,NAM,16,0,2448255,6.3888569,1.230449,0,565,Namibia,127,.69999999,.56800002,.428
New_Caledonia,NCL,18,0,284060,5.4534116,1.2787536,0,,Hong Kong,167,.31799999,.255,.117
New_Caledonia,NCL,18,0,284060,5.4534116,1.2787536,0,,Palestine/West Bank,128,.28299999,.20999999,.20100001
New_Caledonia,NCL,18,0,284060,5.4534116,1.2787536,0,,Somaliland,139,.44100001,.26499999,.285
